Title,Author(s),Term,Frequency,Link
Confronting the coral reef crisis,"DR Bellwood, TP Hughes, C Folke, M Nyström",coral,47,https://www.nature.com/articles/nature02691
Confronting the coral reef crisis,"DR Bellwood, TP Hughes, C Folke, M Nyström",reefs,27,https://www.nature.com/articles/nature02691
Confronting the coral reef crisis,"DR Bellwood, TP Hughes, C Folke, M Nyström",reef,39,https://www.nature.com/articles/nature02691
Confronting the coral reef crisis,"DR Bellwood, TP Hughes, C Folke, M Nyström",corals,11,https://www.nature.com/articles/nature02691
Confronting the coral reef crisis,"DR Bellwood, TP Hughes, C Folke, M Nyström",juvenile,2,https://www.nature.com/articles/nature02691
The future of coral reefs,N Knowlton,NA,0,https://www.pnas.org/doi/abs/10.1073/pnas.091092998
Ecology and morphology of recent coral reefs,DR Stoddart,coral,7,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-185X.1969.tb00609.x
Ecology and morphology of recent coral reefs,DR Stoddart,reef,17,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-185X.1969.tb00609.x
Ecology and morphology of recent coral reefs,DR Stoddart,reefs,30,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-185X.1969.tb00609.x
Ecology and morphology of recent coral reefs,DR Stoddart,corals,14,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-185X.1969.tb00609.x
Recovery and recolonization of coral reefs,RG Pearson,NA,0,https://www.jstor.org/stable/24812966
Global change and coral reef ecosystems,SV Smith,NA,0,https://www.jstor.org/stable/2097283
Coral reef restoration,WC Jaap,NA,0,https://www.sciencedirect.com/science/article/pii/S0925857400000859
"Climate change, coral bleaching and the future of the world's coral reefs",O Hoegh-Guldberg,coral,5,https://www.publish.csiro.au/MF/MF99078
"Climate change, coral bleaching and the future of the world's coral reefs",O Hoegh-Guldberg,corals,3,https://www.publish.csiro.au/MF/MF99078
"Climate change, coral bleaching and the future of the world's coral reefs",O Hoegh-Guldberg,reef,1,https://www.publish.csiro.au/MF/MF99078
"Climate change, coral bleaching and the future of the world's coral reefs",O Hoegh-Guldberg,reefs,2,https://www.publish.csiro.au/MF/MF99078
Status of coral reefs of the world: 2004,CCR Wilkinson,coral,5,https://portals.iucn.org/library/sites/library/files/documents/2004-074-2.pdf
Status of coral reefs of the world: 2004,CCR Wilkinson,corals,3,https://portals.iucn.org/library/sites/library/files/documents/2004-074-2.pdf
Status of coral reefs of the world: 2004,CCR Wilkinson,reef,1,https://portals.iucn.org/library/sites/library/files/documents/2004-074-2.pdf
Status of coral reefs of the world: 2004,CCR Wilkinson,reefs,2,https://portals.iucn.org/library/sites/library/files/documents/2004-074-2.pdf
Coral reefs in the Anthropocene,"TP Hughes, ML Barnes, DR Bellwood, JE Cinner",coral,43,https://www.nature.com/articles/nature22901
Coral reefs in the Anthropocene,"TP Hughes, ML Barnes, DR Bellwood, JE Cinner",reefs,27,https://www.nature.com/articles/nature22901
Coral reefs in the Anthropocene,"TP Hughes, ML Barnes, DR Bellwood, JE Cinner",reef,19,https://www.nature.com/articles/nature22901
Coral reefs in the Anthropocene,"TP Hughes, ML Barnes, DR Bellwood, JE Cinner",corals,7,https://www.nature.com/articles/nature22901
Causes of coral reef degradation,"RB Aronson, JF Bruno, WF Precht, PW Glynn",NA,0,https://www.science.org/doi/pdf/10.1126/science.302.5650.1502b
Hydrodynamics of coral reefs,SG Monismith,coral,5,https://www.annualreviews.org/content/journals/10.1146/annurev.fluid.38.050304.092125
Hydrodynamics of coral reefs,SG Monismith,reefs,4,https://www.annualreviews.org/content/journals/10.1146/annurev.fluid.38.050304.092125
Hydrodynamics of coral reefs,SG Monismith,reef,1,https://www.annualreviews.org/content/journals/10.1146/annurev.fluid.38.050304.092125
Hydrodynamics of coral reefs,SG Monismith,corals,2,https://www.annualreviews.org/content/journals/10.1146/annurev.fluid.38.050304.092125
Global microbialization of coral reefs,"AF Haas, MFM Fairoz, LW Kelly, CE Nelson",coral,32,https://www.nature.com/articles/nmicrobiol201642
Global microbialization of coral reefs,"AF Haas, MFM Fairoz, LW Kelly, CE Nelson",reefs,17,https://www.nature.com/articles/nmicrobiol201642
Global microbialization of coral reefs,"AF Haas, MFM Fairoz, LW Kelly, CE Nelson",corals,3,https://www.nature.com/articles/nmicrobiol201642
Global microbialization of coral reefs,"AF Haas, MFM Fairoz, LW Kelly, CE Nelson",reef,15,https://www.nature.com/articles/nmicrobiol201642
The biology of coral reefs,CM Yonge,NA,0,https://www.sciencedirect.com/science/article/pii/S0065288108602606
Responses of coral reefs and reef organisms to sedimentation.,CS Rogers,NA,0,https://www.int-res.com/articles/meps/62/m062p185.pdf?origin=publication_detail&sa=U&ei=jsohVITbOJXXoAS184DADQ&ved=0CEcQFjAJ&usg=AFQjCNE80wJFFt5dhebBkxkWlxL7r0hlrw
